molecule_chembl_id,canonical_smiles
CHEMBL258014,CCCn1c2ccc(/C(C)=N/OC)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
CHEMBL404366,Cn1nc(N)c2c(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)cncc21
CHEMBL404342,Nc1n[nH]c2cncc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12
CHEMBL257292,Cc1ccccc1NC(=O)Nc1ccc(-c2ccnc3[nH]nc(N)c23)cc1
CHEMBL256825,Nc1n[nH]c2ccnc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12
CHEMBL255746,Nc1n[nH]c2nccc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12
CHEMBL257292,Cc1ccccc1NC(=O)Nc1ccc(-c2ccnc3[nH]nc(N)c23)cc1
CHEMBL219998,COc1ccc(-c2ccc(NC(=O)Nc3cccc(C)c3)cc2)c2c(N)n[nH]c12
CHEMBL1651523,COc1cc(O)c2c(c1)CCCCCC(=O)/C=C\C[C@H](C)OC2=O
CHEMBL1681941,CO/N=C/c1c(N)ncnc1Oc1ccc(NC(=O)Nc2cccnc2)c(Cl)c1
CHEMBL2113063,C[C@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL426078,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(O)cc32)[nH]1
CHEMBL374330,Cc1ccc(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)cc1
CHEMBL374330,Cc1ccc(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)cc1
CHEMBL240455,Cn1ncc(NCc2ccncc2)c1C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL241084,COc1ccc(NC(=O)c2c(NCc3ccncc3)cnn2C)cc1OC
CHEMBL401041,Cn1ncc(NCc2ccncc2)c1C(=O)Nc1ccc(C(C)(C)C)cc1
CHEMBL240642,Cn1ncc(NCc2ccncc2)c1C(=O)Nc1ccc(Cl)cc1
CHEMBL1271667,O=C(Nc1cccc2cccnc12)c1cc(Br)cnc1O
CHEMBL1271837,O=C(Nc1cnc2ccccc2c1)c1cc(Cl)c(O)nc1O
CHEMBL1668419,COc1cc(O)c2c(c1)CCCCCC(=O)/C=C/C[C@H](C)OC2=O
CHEMBL2011301,NC(=O)c1c(-c2ccncc2)nn(-c2ccccc2)c1N
CHEMBL3358992,COc1cccc(-c2c[nH]c(=O)c(-c3cc(OC)c(OC)c(OC)c3)n2)c1
CHEMBL3931421,COc1cc(OC)cc(N(CCCN2CCCC2)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1
CHEMBL3908877,COc1cc(OC)cc(N(CCN)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1.Cl
CHEMBL3893698,CCN1C(=O)CS/C1=N/Nc1nncc2ccccc12
CHEMBL258805,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2
CHEMBL3747084,CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CCNC5)ccc32)n[nH]1
CHEMBL3746941,CC1(c2cc(NC(=O)n3ccc4cc(Oc5ncnc6c5CNC6)ccc43)n[nH]2)CC1
CHEMBL3828416,CCN(CC)CCOc1ccc(-n2c3c(c4ccc(O)cc4c2=O)C(=O)c2cc(O)ccc2-3)cc1
CHEMBL3981077,COc1cc(F)cc(N(CCO)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1
CHEMBL3935597,C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(F)c(OC)cc(OC)c1F
CHEMBL3899151,COc1cc(OC)cc(N(CCCNCCC#N)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CHEMBL2386817,CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(NC(=O)Nc5cccnc5)cc4)n[nH]3)cc2)CC1
CHEMBL372388,Cc1cccc(NC(=O)Nc2ccc(-c3c(CN4CCN(C)CC4)sc4ncnc(N)c34)cc2)c1
CHEMBL297012,COc1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1
CHEMBL3706833,COCCOc1cc2ncnc(NC3=CC(=O)C(C)=CC3=O)c2cc1OC
CHEMBL3706829,COCCOc1cc2ncnc(NC3=CC(=O)C=C(Br)C3=O)c2cc1OC
CHEMBL3706830,COCCOc1cc2ncnc(NC3=CC(=O)C(SC)=CC3=O)c2cc1OC
CHEMBL3706824,COCCOc1cc2ncnc(NC3=CC(=O)C(N(C)c4ccccc4)=CC3=O)c2cc1OC
CHEMBL3706825,COCCOc1cc2ncnc(NC3=CC(=O)C(OC)=CC3=O)c2cc1OC
CHEMBL3706825,COCCOc1cc2ncnc(NC3=CC(=O)C(OC)=CC3=O)c2cc1OC
CHEMBL3706820,COCCOc1cc2ncnc(NC3=CC(=O)C(N4CCCC4)=CC3=O)c2cc1OC
CHEMBL2113175,COCCOc1cc2ncnc(NC3=CC(=O)C(OC(CF)CF)=CC3=O)c2cc1OC
CHEMBL2113190,COCCOc1cc2ncnc(NC3=CC(=O)C(OCc4ccccc4F)=CC3=O)c2cc1OC
CHEMBL2113182,COCCOc1cc2ncnc(NC3=CC(=O)C(OCc4ccc(F)cc4)=CC3=O)c2cc1OC
CHEMBL262433,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3nsc4ncnc(N)c34)cc2)c1
CHEMBL270086,Nc1noc2cccc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
CHEMBL374240,CO/N=C/c1c(N)ncnc1Oc1ccc2[nH]ccc2c1F
CHEMBL387313,CO/N=C/c1c(N)ncnc1Oc1ccc2[nH]ccc2c1
CHEMBL220444,Cc1cc2c(F)c(Oc3ncnc(N)c3/C=N/OCCCN(C)C)ccc2[nH]1
CHEMBL223892,CCO/N=C/c1c(N)ncnc1Oc1ccc2[nH]c(C)cc2c1F
CHEMBL380944,N#Cc1cnc(Nc2cc(N3CCNCC3)ncn2)s1
CHEMBL203585,CC(=O)N1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1
CHEMBL381817,N#Cc1cnc(Nc2cc(N3CCC(N)C3)ncn2)s1
CHEMBL205710,COC[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C
CHEMBL4473253,COc1ccc(-c2ccc(Cn3cc(-c4ccc(NC(=O)C5CC5)cc4)nn3)cc2)cn1
CHEMBL1242844,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2CC1CCNCC1
CHEMBL1241579,C[C@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21
CHEMBL4459013,Cc1ccc(CC(=O)Nc2ccc(-n3c4c(c5ncnc(N)c53)CCC4)cc2)c(F)c1
CHEMBL1277620,COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1OC
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1
